Stem,Word_anew,Word_mrc,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum,Conc,Imag
abandon,abandon,abandonment,2.84,1.54,19,3.73,2.43,22,3.32,2.5,22,272,348
abandon,abandonment,abandonment,2.63,1.74,19,4.95,2.64,21,2.64,1.81,28,272,348
abdomen,abdomen,abdomen,5.43,1.75,21,3.68,2.23,22,5.15,1.94,27,586,548
abduct,abduct,abduction,2.42,1.61,19,5.9,2.57,20,2.75,2.13,24,337,463
abduct,abduction,abduction,2.05,1.31,19,5.33,2.2,21,3.02,2.42,48,337,463
abil,ability,ability,7.0,1.59,20,4.85,2.74,20,6.55,2.48,22,273,327
abl,able,able,6.64,1.79,22,3.38,2.25,21,6.17,2.62,18,302,284
abod,abode,abode,5.28,1.27,18,2.9,1.89,21,5.05,2.44,20,498,458
abrupt,abrupt,abrupt,3.28,1.64,18,5.23,2.0,22,3.75,1.8,24,266,362
abscess,abscess,abscess,2.79,1.58,19,4.0,2.38,20,3.95,2.31,20,538,491
absolut,absolute,absolution,5.43,1.4,21,3.48,2.27,23,5.58,2.66,26,241,256
absolut,absolution,absolution,6.58,1.68,19,3.38,2.11,21,5.75,2.33,24,241,256
abund,abundance,abundance,6.67,1.5,18,4.72,2.7,18,5.66,2.19,62,267,386
abund,abundance,abundant,6.67,1.5,18,4.72,2.7,18,5.66,2.19,62,351,443
abund,abundant,abundance,7.55,1.39,20,4.21,2.7,19,5.81,1.88,26,267,386
abund,abundant,abundant,7.55,1.39,20,4.21,2.7,19,5.81,1.88,26,351,443
abyss,abyss,abyss,3.9,1.51,21,4.85,2.41,20,4.0,2.68,21,450,453
academi,academy,academy,5.32,1.89,19,3.77,2.16,22,5.38,1.71,24,499,504
acceler,accelerant,acceleration,4.59,1.59,22,4.81,2.14,26,6.04,2.01,24,358,486
acceler,accelerate,acceleration,6.1,1.48,21,6.04,1.77,23,6.15,2.07,26,358,486
acceler,accelerated,acceleration,6.21,1.55,19,4.75,2.67,24,6.29,1.92,28,358,486
acceler,acceleration,acceleration,6.19,1.54,21,6.73,2.1,22,5.76,2.05,21,358,486
acceler,accelerator,acceleration,5.63,1.16,19,5.0,2.45,18,6.65,1.84,17,358,486
accid,accident,accident,2.55,1.25,42,4.93,2.56,43,3.0,2.11,48,419,518
accommod,accommodate,accommodation,6.35,1.73,20,3.0,1.61,18,6.27,1.96,22,464,466
accommod,accommodation,accommodation,6.76,1.7,21,4.72,2.07,25,6.0,2.29,22,464,466
accomplic,accomplice,accomplice,4.6,1.39,20,4.5,2.61,20,5.2,2.5,25,395,391
accord,accord,accord,6.38,1.56,21,2.85,1.9,20,5.64,2.89,22,299,248
accord,accord,accordance,6.38,1.56,21,2.85,1.9,20,5.64,2.89,22,270,237
accordion,accordion,accordion,5.26,2.08,19,2.94,2.21,18,5.21,2.11,24,586,576
account,account,account,5.39,1.61,18,3.76,2.49,21,5.06,2.21,18,365,361
account,accountability,account,4.89,1.94,19,3.7,2.27,20,6.55,2.46,20,365,361
account,accountable,account,5.7,1.69,20,4.2,1.96,20,5.57,2.29,21,365,361
account,accountant,account,5.19,1.69,21,3.81,2.18,21,5.72,2.05,25,365,361
account,accounting,account,4.42,2.09,19,3.68,2.4,22,4.48,2.21,23,365,361
accumul,accumulate,accumulation,6.33,2.0,18,2.73,2.27,22,6.15,1.83,27,285,354
accus,accusation,accuser,3.38,1.75,21,5.48,2.23,23,3.62,1.92,26,424,343
accus,accuse,accuser,2.68,1.63,19,5.32,2.08,22,4.0,2.32,24,424,343
ach,ache,ache,3.27,2.01,40,4.3,2.26,47,4.0,2.72,18,443,443
acid,acid,acidity,3.26,2.02,19,4.77,2.37,22,4.26,2.43,23,384,432
acknowledg,acknowledge,acknowledge,6.43,1.86,21,3.26,2.18,23,6.11,2.42,18,290,316
acknowledg,acknowledgement,acknowledge,6.53,1.5,19,3.3,2.3,23,6.71,1.82,28,290,316
acr,acre,acre,5.53,1.71,19,2.73,1.7,22,4.94,2.29,16,462,464
acrobat,acrobat,acrobat,6.0,1.3,20,4.9,2.14,21,5.42,2.24,24,566,583
act,act,act,5.64,1.71,22,4.19,2.29,21,6.11,2.03,18,379,433
actual,actual,actuality,6.22,1.48,18,2.75,1.94,20,5.54,1.89,24,247,213
actual,actuality,actuality,5.4,1.47,20,5.55,2.28,20,5.24,2.07,25,247,213
adag,adage,adage,5.55,0.83,20,3.38,1.88,21,5.13,2.07,23,373,324
adder,adder,adder,4.45,1.47,20,3.24,2.36,17,4.41,1.37,22,615,583
addit,additional,addition,6.15,1.76,20,3.61,2.17,18,4.95,1.99,22,339,347
adher,adhere,adherence,5.17,2.12,18,3.52,2.18,21,3.9,1.86,20,265,326
adject,adjective,adjective,5.95,1.28,21,3.64,2.1,25,6.11,2.18,19,316,394
adjourn,adjourn,adjournment,5.5,1.62,18,3.15,1.93,20,5.75,2.36,20,311,305
administr,administration,administration,4.45,1.36,20,3.23,2.0,22,4.77,2.23,26,331,413
administr,administrative,administration,4.79,1.62,19,3.21,2.2,19,5.9,2.17,20,331,413
administr,administrator,administration,5.32,1.59,22,4.74,2.35,19,5.48,2.6,21,331,413
admir,admirable,admiral,7.0,1.97,21,4.57,2.63,23,5.81,2.66,21,528,543
admir,admirable,admire,7.0,1.97,21,4.57,2.63,23,5.81,2.66,21,296,390
admir,admiral,admiral,4.8,1.32,20,4.05,2.44,21,5.68,2.76,25,528,543
admir,admiral,admire,4.8,1.32,20,4.05,2.44,21,5.68,2.76,25,296,390
admir,admiration,admiral,7.58,1.98,19,5.52,2.19,23,6.11,1.79,19,528,543
admir,admiration,admire,7.58,1.98,19,5.52,2.19,23,6.11,1.79,19,296,390
admir,admire,admiral,7.35,1.27,20,5.0,2.27,22,7.33,1.65,21,528,543
admir,admire,admire,7.35,1.27,20,5.0,2.27,22,7.33,1.65,21,296,390
admir,admired,admiral,7.25,1.37,20,5.95,2.16,21,6.94,2.07,978,528,543
admir,admired,admire,7.25,1.37,20,5.95,2.16,21,6.94,2.07,978,296,390
admir,admirer,admiral,7.05,1.43,21,6.0,2.25,22,6.27,1.55,22,528,543
admir,admirer,admire,7.05,1.43,21,6.0,2.25,22,6.27,1.55,22,296,390
admiss,admissible,admission,5.16,1.61,19,2.9,1.71,20,6.21,1.9,19,305,389
admiss,admission,admission,5.91,1.34,22,3.69,2.02,26,5.54,2.52,24,305,389
adolesc,adolescence,adolescence,6.0,1.65,20,5.1,2.53,21,4.44,2.34,34,267,467
adolesc,adolescent,adolescence,5.38,1.91,21,4.2,2.67,20,4.0,2.56,19,267,467
adult,adult,adult,5.9,2.1,42,4.36,2.5,22,6.46,2.07,48,492,526
adulteri,adultery,adultery,2.81,2.06,21,6.42,2.48,19,3.33,2.46,21,311,494
advantag,advantage,advantage,6.71,1.62,21,3.95,2.36,22,7.19,1.94,36,282,292
advantag,advantageous,advantage,6.79,1.4,19,5.7,2.08,20,6.22,2.28,23,282,292
adventur,adventure,adventurer,7.4,1.78,42,6.36,2.4,42,6.36,2.05,44,462,497
